Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Algeria,"1,192.8","1,157.1","1,146.3","1,058.7","1,040.1","1,023",899,911,"1,020",973,907
Angola,"1,653.7","1,767.1","1,721.6","1,632.2","1,473.3","1,373","1,271","1,124","1,137","1,098","1,125"
Congo,240.6,232.2,225.0,262.7,323.5,329,300,267,262,271,260
Ecuador,556.6,543.1,549.0,531.3,517.2,531,479,473,481,475,475
Equatorial Guinea,199.8,185.3,160.1,128.6,120.2,110,114,93,81,55,57
Gabon,210.9,213.5,220.7,210.1,193.4,218,207,181,191,223,224
Indonesia,697.3,690.1,737.9,710.2,684.4,664,631,585,539,540,517
Iraq,"3,110.5","3,504.1","4,647.8","4,468.7","4,410.0","4,576","3,997","3,971","4,453","4,118","3,862"
Kuwait,1,"2,866.8","2,858.7","2,954.3","2,704.2",1,"2,678","2,438","2,415","2,707","2,411"
Libya,479.9,403.7,389.1,810.5,951.2,"1,091",389,"1,207",981,"1,189","1,136"
Nigeria,"1,807.0","1,748.2","1,427.3","1,535.6","1,601.6","1,737","1,493","1,323","1,138","1,187","1,345"
Qatar,709.2,656.0,651.5,600.0,600.6,595,603,601,606,606,614
Saudi Arabia,1,"9,712.7","10,192.6","10,460.2","9,959.2",1,"9,808","9,213","9,125","10,591","8,955"
United Arab Emirates,"2,794.0","2,988.9","3,088.3","2,966.5","3,008.3","3,058","2,779","2,718","3,064","2,944","2,916"
Venezuela,"2,682.6","2,653.9","2,372.5","2,034.8","1,510.2","1,013",569,636,716,783,921
